models,alpha,beta,bias,variance,MSE,RMSE (%),contamination level,sample Size
Contaminations_U,5.013674524640322,1.9979499484030872,-1.096265935172726e-14,0.8191784502766802,0.8191784502766802,2.8667649989754924,10.0%,35
Standard,4.890461555543439,1.9995352959762835,-1.2155356086753142e-14,0.8433554696989553,0.8433554696989553,0.0,10.0%,35
Contaminations_T,5.022989031677412,1.9979992848154686,-2.20775778611174e-14,0.8435205276590878,0.8435205276590878,-0.019571576406740118,10.0%,35
Outliers,5.015873769916382,1.9982557949167723,-3.4613581842027735e-14,1.1527737020697981,1.1527737020697981,-36.688945941299586,10.0%,35
Contaminations_E,5.511275519242346,1.9979038386617198,-3.6034667313547936e-14,4.13774008051432,4.13774008051432,-390.62823793522443,10.0%,35
Contaminations_C,5.34914867165466,1.979807592639855,-2.689911785377522e-14,8.830357985223001,8.830357985223001,-947.0505382949721,10.0%,35
Mixtures_U,6.003204374447279,1.9948772195310454,-8.526512829121202e-15,9.178256101241654,9.178256101241654,-988.3021965243113,10.0%,35
Contaminations_G,6.180682027304499,1.9926915879216938,-2.1620800388128762e-14,10.459733789180206,10.459733789180206,-1140.2520840842972,10.0%,35
Mixtures_K,2.907183472059529,2.0302050715198687,-2.0859504599814368e-14,13.757841215986652,13.757841215986652,-1531.3217510639565,10.0%,35
Mixtures_KU,6.260470681669318,1.9907026090319573,-1.1977720402813117e-14,14.537212709943207,14.537212709943207,-1623.7349175114048,10.0%,35
